start_time,end_time,text
0.0,2.3, Les réseaux sociaux ont fait un truc que personne attendait.
2.3,7.46, Ils ont donné aux femmes une plateforme pour montrer exactement qui elles sont quand elles pensent que personne regarde.
7.46,11.8," Chaque tweet, chaque TikTok, chaque story Instagram, elle se dénonce à une vitesse folle."
11.8,14.74," Le masque ne glisse plus juste un peu, il est complètement tombé."
14.74,20.76," Et en dessous, des années de dette émotionnelle, de trauma non résolue et d'exigence qu'elles attendent que tu paies."
20.76,23.74, Laisse-moi te montrer ce que les femmes révèlent sans le vouloir sur elle-même.
23.74,26.1, Et pourquoi ça change tout pour les rencontres modernes ?
26.1,27.34, Voilà ce qui se passe en ce moment.
27.34,31.34, Les femmes se vente publiquement de trucs qui auraient ruiné leur réputation il y a 20 ans.
31.34,37.04," Des comptes de corps dans les dizaines, des histoires de trompri, des tactiques de manipulation, des plans pour chasser l'argent."
37.04,39.9, Elle poste tout ça pour des likes et de la validation.
39.9,41.86, Elle croit être forte et honnête.
41.86,45.68," En vrai, elle montre aux hommes exactement pourquoi il devrait fûrir."
45.68,46.76, J'ai vu un TikTok hier.
46.76,50.0," Cette femme, sûrement 32 ans, divorcé avec deux gosses,"
50.0,53.94, qui fait une vidéo sur comment un nouveau copain doit guérir son trauma de son ex.
53.94,56.36," Elle a dit, avoir haute devant la caméra."
56.38,59.68," Que ces sons de job à lui, de réparer les dégâts causés par un autre mec."
59.68,61.88," Et les commentaires, des milliers de femmes qui approvent."
61.88,64.44," Oui, Rennes, il devrait être reconnaissant d'avoir la chance."
64.44,66.78," Si il ne peut pas gérer ton trauma, il ne te mérite pas."
66.78,69.38, C'est de la dette émotionnelle et les femmes s'y noient.
69.38,72.98," Chaque mauvaise relation, chaque coup d'un soir, chaque truc sans suite,"
72.98,77.88," tout ça s'accumule en un énorme fardo émotionnel, qu'elle trainballe dans les nouvelles relations."
77.88,80.26," Mais le pire, c'est qu'elles attendent que tu paies cette dette."
80.26,81.7," Tu l'as pas créé, t'étais pas là."
81.7,84.06," Mais d'une façon ou d'une autre, c'est à toi de la réparer."
84.06,85.74, Laisse-moi te parler d'un de mes clients.
85.74,89.58," Un bon gars qui est réussi bien, il rencontre cette femme qui semble parfaite."
89.58,91.18," Trois mois plus tard, elle commence à déballer."
91.18,92.18, Son ex était violent.
92.18,93.34, Le mec d'avant l'a trompé.
93.34,95.54," Celui encore avant, refusé de s'engager."
95.54,97.68," Soudain, il doit prouver qu'il est différent."
97.68,98.94, La rassurer tout le temps.
98.94,101.94," En gros, payez pour les faute de tous les mecs avant lui."
101.94,102.94, Il sort pas avec elle.
102.94,104.78, Il sort avec tout son passé sexuel.
104.78,109.12, L'épidémie de sexe casuale a créé une génération de femmes émotionnellement fauchées.
109.12,113.12, Elles ont passé leur 20 ans à se faire passer dessus par des mecs qui s'en fouternent.
113.2,115.64, Elles ont confondu la tension sexuelle avec l'amour.
115.64,119.04," Les orgasmes, avec l'intimité, les textos avec une connexion."
119.04,120.64," Maintenant, elles ont la trentaine."
120.64,123.36, Amère comme pas possible et cherche quelqu'un à blâmer.
